Review,Year,user_id,Location,Helpful votes,Country,Country_code,Cleaned,Label_1,Label_2,Label_3,Label,
"Just returned from two weeks in New Zealand and Australia. Looking back I now realize that we did not have enough time given the territory we wanted to cover. Also, we did not take into consideration the size of Australia!
One smart thing we did was to switch our trip from early March to October. The weather was great!
We did stay in Pt. Douglas which is around an hour outside of Cains. The best part was having breakfast at the Pt. Douglas Aviary. We saw beautiful birds and fed kanaroos. Up close and personal.
If you don't mind living out of your suitcases and waiting, then go for it!",2007,jem3457,,No Rating,Australia,0,just returned two weeks new zealand australia. looking back i realize enough time given territory wanted cover. also take consideration size australiaone smart thing switch trip early march october. the weather greatwe stay pt. douglas around hour outside cains. the best part breakfast pt. douglas aviary. we saw beautiful birds fed kanaroos. up close personal.if dont mind living suitcases waiting go,1,1,1,1,"LABELS: NEUTRAL -0, POSITIVE -1, NEGATIVE -2"
"did you pack alot into your 2 weeks in australia and new zealand?
we do tell visitors that australia is a big country but until you see it for yourself......
hope that you'll come back for a longer stay in australia next time.",2007,JuneTL,"Sydney, Australia",91,Australia,0,pack alot weeks australia new zealandwe tell visitors australia big country see yourself......hope youll come back longer stay australia next time.,0,1,1,1,
"Yes we did! There was quite a range of temps that we were dealing with!
Would love to come back either to one or the other countries.",2007,jem3457,,No Rating,Australia,0,yes there quite range temps dealing withwould love come back either one countries.,0,1,1,1,
"Hi Jem3457,
We want to make a family trip in December of this year. We plan on staying 15 days.We would like to start in New Zealand like for two days and then go into Australia. Where did you start and in at? WE would like to visit the great barrier reef area, cairns, melbourne but for sure end up in Sydney for the new year. If you have any tips,suggestions please let me know.",2008,mona35,orange county,88,Australia,0,hi jemwe want make family trip december year. we plan staying days.we would like start new zealand like two days go australia. where start we would like visit great barrier reef area cairns melbourne sure end sydney new year. if tipssuggestions please let know.,1,0,0,0,
"Hi,
I hope you have fun planning your trip to Australia. We (my family of 6) visited America in 2004 and loved it. Didn't get to Orange County though!
Australia is a huge place! I haven't been to NZ before but I grew up in Melbourne and have family in Cairns.
Some info for you.
Cairns to Melbourne - 3hr flight
Melbourne to Sydney - 1 hr flight
Cairns will be very steamy in December. You wont be able to swim in the beaches because of 'stingers' (jellyfish) so make sure your accommodation has a pool. Have a look at the Whitsunday Islands, a little south of Cairns. If you like sailing you can hire a yacht and cruise around.
Melbourne in December will be great, with potentially some hot days eg over 35 degrees Celsius. This means it could be good to include some beach time - try Mornington Peninsula. From here you can visit Phillip Island and the Fiary Penguins. Melbourne has great food and heaps of opportunities to see live music, so try and stay close to the CBD (downtown).
I tried to get accommodation in Sydney on New Year's Eve 2007 and it was extremely expensive and hard to find. Make sure you book early and be ready for hotels to increase their prices - especially if you want a view of the harbour - where the fireworks are.
Hope this helps.
Melinda",2008,miamia10,"Melbourne, Australia",3,Australia,0,hii hope fun planning trip australia. we family visited america loved it. didnt get orange county thoughaustralia huge place i havent nz i grew melbourne family cairns.some info you.cairns melbourne hr flightmelbourne sydney hr flightcairns steamy december. you wont able swim beaches stingers jellyfish make sure accommodation pool. have look whitsunday islands little south cairns. if like sailing hire yacht cruise around.melbourne december great potentially hot days eg degrees celsius. this means could good include beach time try mornington peninsula. from visit phillip island fiary penguins. melbourne great food heaps opportunities see live music try stay close cbd downtown.i tried get accommodation sydney new years eve extremely expensive hard find. make sure book early ready hotels increase prices especially want view harbour fireworks are.hope helps.melinda,0,1,2,#N/A,
"Moona,
If you only plan to spend 2 days in NZ then you may want to consider skipping it on this trip - 2 days is nowhere near enough time to see NZ.
Mez",2008,m e z,"Sydney, Australia",No Rating,Australia,0,moonaif plan spend days nz may want consider skipping trip days nowhere near enough time see nz.mez,0,2,0,0,
"I agree with Mez - don't even bother going to NZ for 2 days. It's a waste of time - you need much longer than that to see it. Part of New Zealand's attraction is its stunning countrysides and nature - and you can't see much of this in 2 days.
With 15 days, stick to Australia. You'll be able to spend some time on the beach as well as in Sydney, with a trip to Melbourne. If you do head to Melbourne, make sure you take an overnight trip to see the Great Ocean Road. Some of the world's best scenery, IMO.",2008,kateoz,"New York City, New...",172,Australia,0,i agree mez dont even bother going nz days. its waste time need much longer see it. part new zealands attraction stunning countrysides nature cant see much days.with days stick australia. youll able spend time beach well sydney trip melbourne. if head melbourne make sure take overnight trip see great ocean road. some worlds best scenery imo.,0,2,2,2,
If you want to read about Aussie Holiday Travel Stories - real life holiday Adventures by 4WD towing a camper trailer have a look at this site. http://www.aussieholiday.com.au There are photo web albums available for each travel destination plus Aussie Glossary and Aussie Recipes.,2008,austravellerBrisbane,brisbane,6,Australia,0,if want read aussie holiday travel stories real life holiday adventures wd towing camper trailer look site. there photo web albums available travel destination plus aussie glossary aussie recipes.,0,1,0,0,
"This topic has been closed to new posts due to inactivity.
What are forum guidelines?",2010,,,,Australia,0,this topic closed new posts due inactivity.what forum guidelines,2,0,0,0,
We are planning a trip to Australia and New Zealand next year. Has anyone used the UK company Freedom Australia and New Zealand? Or any other recommendations? Thanks.,2016,susanes22,Daviot,5,Australia,0,we planning trip australia new zealand next year. has anyone used uk company freedom australia new zealand or recommendations thanks.,1,0,0,0,
